,case_id,timestamp,activity_type,agent_id,agent_activity_type
0,1-109135791,2006-01-11T15:49:42+01:00,Queued_Awaiting Assignment,INDIA_Minnie,INDIA_Minnie|Queued_Awaiting Assignment
1,1-109135791,2012-03-15T11:53:52+01:00,Accepted_In Progress,INDIA_Minnie,INDIA_Minnie|Accepted_In Progress
2,1-109135791,2012-03-15T11:56:17+01:00,Accepted_Assigned,INDIA_Minnie,INDIA_Minnie|Accepted_Assigned
3,1-109135791,2012-03-15T12:09:05+01:00,Accepted_In Progress,INDIA_Minnie,INDIA_Minnie|Accepted_In Progress
4,1-109135791,2012-03-15T12:11:33+01:00,Completed_Closed,INDIA_Minnie,INDIA_Minnie|Completed_Closed
5,1-147898401,2006-11-07T10:00:36+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
6,1-147898401,2006-11-07T13:05:44+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
7,1-147898401,2009-12-02T14:24:32+01:00,Accepted_Wait,Sweden_Tomas,Sweden_Tomas|Accepted_Wait
8,1-147898401,2011-09-03T06:09:09+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
9,1-147898401,2012-01-20T10:23:24+01:00,Accepted_In Progress,China_Carrie,China_Carrie|Accepted_In Progress
10,1-147898401,2012-01-20T10:23:27+01:00,Completed_Closed,China_Carrie,China_Carrie|Completed_Closed
11,1-165554831,2007-03-20T09:06:25+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
12,1-165554831,2009-12-02T14:24:31+01:00,Accepted_Wait,Sweden_Tomas,Sweden_Tomas|Accepted_Wait
13,1-165554831,2011-09-03T06:10:53+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
14,1-165554831,2012-01-18T08:52:41+01:00,Accepted_In Progress,China_Carrie,China_Carrie|Accepted_In Progress
15,1-165554831,2012-01-18T08:52:43+01:00,Completed_Closed,China_Carrie,China_Carrie|Completed_Closed
16,1-172473423,2007-05-10T15:21:54+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
17,1-172473423,2009-12-02T14:24:33+01:00,Accepted_Wait,Sweden_Tomas,Sweden_Tomas|Accepted_Wait
18,1-172473423,2011-09-03T06:10:59+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
19,1-172473423,2012-01-18T08:20:53+01:00,Accepted_In Progress,China_Carrie,China_Carrie|Accepted_In Progress
20,1-172473423,2012-01-18T08:21:10+01:00,Completed_Closed,China_Carrie,China_Carrie|Completed_Closed
21,1-182640781,2007-07-25T13:21:05+01:00,Accepted_In Progress,Sweden_Niklas,Sweden_Niklas|Accepted_In Progress
22,1-182640781,2009-12-02T14:24:32+01:00,Accepted_Wait,Sweden_Niklas,Sweden_Niklas|Accepted_Wait
23,1-182640781,2010-08-25T10:13:01+01:00,Queued_Awaiting Assignment,Sweden_Niklas,Sweden_Niklas|Queued_Awaiting Assignment
24,1-182640781,2011-09-05T08:24:13+01:00,Accepted_In Progress,Sweden_Niklas,Sweden_Niklas|Accepted_In Progress
25,1-182640781,2011-11-14T16:10:25+01:00,Accepted_Assigned,Sweden_Niklas,Sweden_Niklas|Accepted_Assigned
26,1-182640781,2012-01-03T11:30:35+01:00,Accepted_In Progress,Sweden_Niklas,Sweden_Niklas|Accepted_In Progress
27,1-182640781,2012-01-03T11:31:53+01:00,Completed_Closed,Sweden_Niklas,Sweden_Niklas|Completed_Closed
28,1-230541365,2008-05-07T17:58:51+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
29,1-230541365,2008-10-06T15:44:37+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
30,1-230541365,2009-12-02T14:24:34+01:00,Accepted_Wait,Sweden_Tomas,Sweden_Tomas|Accepted_Wait
31,1-230541365,2011-09-01T23:27:50+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
32,1-230541365,2011-09-01T23:27:55+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
33,1-230541365,2012-01-20T07:53:32+01:00,Accepted_In Progress,China_Carrie,China_Carrie|Accepted_In Progress
34,1-230541365,2012-01-20T07:53:35+01:00,Completed_Closed,China_Carrie,China_Carrie|Completed_Closed
35,1-236817141,2008-06-04T11:02:18+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
36,1-236817141,2009-12-02T14:24:34+01:00,Accepted_Wait,Sweden_Tomas,Sweden_Tomas|Accepted_Wait
37,1-236817141,2010-08-25T10:06:45+01:00,Queued_Awaiting Assignment,Sweden_Tomas,Sweden_Tomas|Queued_Awaiting Assignment
38,1-236817141,2011-09-03T07:02:11+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
39,1-236817141,2011-11-14T16:09:27+01:00,Accepted_Assigned,Sweden_Niklas,Sweden_Niklas|Accepted_Assigned
40,1-236817141,2012-01-05T14:08:18+01:00,Accepted_In Progress,Sweden_Tomas,Sweden_Tomas|Accepted_In Progress
41,1-236817141,2012-01-05T14:09:00+01:00,Completed_Closed,Sweden_Tomas,Sweden_Tomas|Completed_Closed
42,1-270399977,2008-11-13T09:43:32+01:00,Accepted_In Progress,Netherlands_Juan,Netherlands_Juan|Accepted_In Progress
